rgID,ugaID,is.SCR,is.rep,week,year,snare,utmSnare,fqfile,knownSEX,sampSOURCE,region
UGA_173101_P017_WA04,339-23,TRUE,FALSE,2,2023,HS 068,268186x3591620,RAPiD-Genomics_F534_UGA_173101_P017_WA04_i5-512_i7-100_S14933_L003_R1_001.fastq,,Hair Snare,CGA
UGA_173101_P017_WA05,339-24,TRUE,FALSE,7,2024,HS 030,260871x3593893,RAPiD-Genomics_F534_UGA_173101_P017_WA05_i5-512_i7-101_S14934_L003_R1_001.fastq,,Hair Snare,CGA
UGA_173101_P017_WA06,86-24,TRUE,FALSE,1,2024,HS 067,269282x3591006,RAPiD-Genomics_F534_UGA_173101_P017_WA06_i5-512_i7-102_S14935_L003_R1_001.fastq,,Hair Snare,CGA
UGA_173101_P017_WA07,153-23,TRUE,FALSE,5,2023,HS 005,252875x3588670,RAPiD-Genomics_F534_UGA_173101_P017_WA07_i5-512_i7-103_S14936_L003_R1_001.fastq,,Hair Snare,CGA
UGA_173101_P017_WA08,101-23,TRUE,FALSE,7,2023,HS 042,259530x3597317,RAPiD-Genomics_F534_UGA_173101_P017_WA08_i5-512_i7-104_S14937_L003_R1_001.fastq,,Hair Snare,CGA
UGA_173101_P017_WA09,432-24,TRUE,FALSE,4,2024,HS 086,266197x3598788,RAPiD-Genomics_F534_UGA_173101_P017_WA09_i5-512_i7-105_S14938_L003_R1_001.fastq,,Hair Snare,CGA
UGA_173101_P017_WA10,77-23,TRUE,FALSE,3,2023,HS 068,268186x3591620,RAPiD-Genomics_F534_UGA_173101_P017_WA10_i5-512_i7-106_S14939_L003_R1_001.fastq,,Hair Snare,CGA
UGA_173101_P017_WA11,50-C,FALSE,FALSE,NA,2024,NA,NA,RAPiD-Genomics_F534_UGA_173101_P017_WA11_i5-512_i7-107_S14940_L003_R1_001.fastq,F,Capture,CGA
UGA_173101_P017_WA12,360-24,TRUE,FALSE,7,2024,HS 032,263672x3593292,RAPiD-Genomics_F534_UGA_173101_P017_WA12_i5-512_i7-108_S14941_L003_R1_001.fastq,,Hair Snare,CGA
UGA_173101_P017_WB01,118-23,TRUE,FALSE,7,2023,HS 044,264092x3597212,RAPiD-Genomics_F534_UGA_173101_P017_WB01_i5-512_i7-109_S14942_L003_R1_001.fastq,,Hair Snare,CGA
UGA_173101_P017_WB02,42-C,FALSE,FALSE,NA,2024,NA,NA,RAPiD-Genomics_F534_UGA_173101_P017_WB02_i5-512_i7-110_S14943_L003_R1_001.fastq,M,Capture,CGA
UGA_173101_P017_WB03,68-NGA,FALSE,TRUE,NA,2022,NA,NA,RAPiD-Genomics_F534_UGA_173101_P017_WB03_i5-512_i7-111_S14944_L003_R1_001.fastq,F,Capture,NGA
UGA_173101_P017_WB04,52-SGA,FALSE,FALSE,NA,2023,NA,NA,RAPiD-Genomics_F534_UGA_173101_P017_WB04_i5-512_i7-112_S14945_L003_R1_001.fastq,M,Harvest,SGA
UGA_173101_P017_WB05,497-24,TRUE,FALSE,2,2024,HS 048,261267x3598930,RAPiD-Genomics_F534_UGA_173101_P017_WB05_i5-512_i7-113_S14946_L003_R1_001.fastq,,Hair Snare,CGA
UGA_173101_P017_WB06,96-23,TRUE,FALSE,4,2023,HS 027,264464x3592495,RAPiD-Genomics_F534_UGA_173101_P017_WB06_i5-512_i7-114_S14947_L003_R1_001.fastq,,Hair Snare,CGA
UGA_173101_P017_WB07,55-C,FALSE,FALSE,NA,2024,NA,NA,RAPiD-Genomics_F534_UGA_173101_P017_WB07_i5-512_i7-115_S14948_L003_R1_001.fastq,F,Capture,CGA
UGA_173101_P017_WB08,28-24,TRUE,FALSE,6,2024,HS 030,260871x3593893,RAPiD-Genomics_F534_UGA_173101_P017_WB08_i5-512_i7-116_S14949_L003_R1_001.fastq,,Hair Snare,CGA
UGA_173101_P017_WB09,10-C,FALSE,FALSE,NA,2023,NA,NA,RAPiD-Genomics_F534_UGA_173101_P017_WB09_i5-512_i7-117_S14950_L003_R1_001.fastq,M,Capture,CGA
UGA_173101_P017_WB10,77-DC,FALSE,FALSE,NA,2024,NA,NA,RAPiD-Genomics_F534_UGA_173101_P017_WB10_i5-512_i7-118_S14951_L003_R1_001.fastq,F,Den Check,NGA
UGA_173101_P017_WB11,347-23,TRUE,FALSE,4,2023,HS 021,264713x3588839,RAPiD-Genomics_F534_UGA_173101_P017_WB11_i5-512_i7-119_S14952_L003_R1_001.fastq,,Hair Snare,CGA
UGA_173101_P017_WB12,87-NGA,FALSE,FALSE,NA,2024,NA,NA,RAPiD-Genomics_F534_UGA_173101_P017_WB12_i5-512_i7-120_S14953_L003_R1_001.fastq,F,Capture,NGA
UGA_173101_P017_WC01,202-23,TRUE,FALSE,7,2023,HS 068,268186x3591620,RAPiD-Genomics_F534_UGA_173101_P017_WC01_i5-512_i7-121_S14954_L003_R1_001.fastq,,Hair Snare,CGA
UGA_173101_P017_WC02,216-23,TRUE,FALSE,7,2023,HS 009,259209x3585507,RAPiD-Genomics_F534_UGA_173101_P017_WC02_i5-512_i7-122_S14955_L003_R1_001.fastq,,Hair Snare,CGA
UGA_173101_P017_WC03,165-24,TRUE,FALSE,1,2024,HS 030,260871x3593893,RAPiD-Genomics_F534_UGA_173101_P017_WC03_i5-512_i7-123_S14956_L003_R1_001.fastq,,Hair Snare,CGA
UGA_173101_P017_WC04,334-24,TRUE,FALSE,7,2024,HS 025,265276x3591787,RAPiD-Genomics_F534_UGA_173101_P017_WC04_i5-512_i7-124_S14957_L003_R1_001.fastq,,Hair Snare,CGA
