extID,ugaID,is.SCR,is.rep,week,year,snare,utmSnare,fqfile,knownSEX,sampSOURCE,region,nSNPgt,vcfID,FILT
GTseek_024_384i5_056_P098.004_576-24,576-24,TRUE,FALSE,6,2024,HS 034,264626x3594282,NA,NA,Hair Sample,CGA,123,GTS_576-24,FALSE
GTseek_024_384i5_057_P098.002_774-23,774-23,TRUE,FALSE,5,2023,HS 008,256165x3589588,NA,NA,Hair Sample,CGA,123,GTS_774-23,FALSE
GTseek_024_384i5_058_P098.004_580-24,580-24,TRUE,FALSE,3,2024,HS 038,264323x3595743,NA,NA,Hair Sample,CGA,NA,GTS_580-24,TRUE
GTseek_024_384i5_059_P098.002_775-23,775-23,TRUE,FALSE,4,2023,HS 042,259530x3597317,NA,NA,Hair Sample,CGA,123,GTS_775-23,FALSE
GTseek_024_384i5_060_P098.004_583-24,583-24,TRUE,FALSE,6,2024,HS 085,264337x3598727,NA,NA,Hair Sample,CGA,120,GTS_583-24,FALSE
GTseek_024_384i5_061_P098.002_778-23,778-23,TRUE,FALSE,6,2023,HS 066,268064x3590555,NA,NA,Hair Sample,CGA,123,GTS_778-23,FALSE
GTseek_024_384i5_062_P098.004_588-24,588-24,TRUE,FALSE,1,2024,HS 030,260871x3593893,NA,NA,Hair Sample,CGA,123,GTS_588-24,FALSE
GTseek_024_384i5_063_P098.002_779-23,779-23,TRUE,FALSE,7,2023,HS 042,259530x3597317,NA,NA,Hair Sample,CGA,125,GTS_779-23,FALSE
GTseek_024_384i5_064_P098.004_590-24,590-24,TRUE,FALSE,3,2024,HS 096,271378x3600579,NA,NA,Hair Sample,CGA,120,GTS_590-24,FALSE
GTseek_024_384i5_065_P098.001_619-23,619-23,TRUE,FALSE,3,2023,HS 070,269359x3592627,NA,NA,Hair Sample,CGA,NA,GTS_619-23,TRUE
GTseek_024_384i5_066_P098.003_951-23,951-23,TRUE,FALSE,4,2023,HS 008,256165x3589588,NA,NA,Hair Sample,CGA,122,GTS_951-23,FALSE
GTseek_024_384i5_067_P098.001_626-23,626-23,TRUE,FALSE,4,2023,HS 101,275317x3599324,NA,NA,Hair Sample,CGA,120,GTS_626-23,FALSE
GTseek_024_384i5_068_P098.003_952-23,952-23,TRUE,FALSE,1,2023,HS 107,264125x3603185,NA,NA,Hair Sample,CGA,123,GTS_952-23,FALSE
GTseek_024_384i5_069_P098.001_627-23,627-23,TRUE,FALSE,2,2023,HS 028,258399x3594245,NA,NA,Hair Sample,CGA,120,GTS_627-23,FALSE
GTseek_024_384i5_070_P098.003_953-23,953-23,TRUE,FALSE,2,2023,HS 076,270936x3595484,NA,NA,Hair Sample,CGA,123,GTS_953-23,FALSE
GTseek_024_384i5_071_P098.001_628-23,628-23,TRUE,FALSE,6,2023,HS 043,260480x3597395,NA,NA,Hair Sample,CGA,NA,GTS_628-23,TRUE
GTseek_024_384i5_072_P098.003_955-23,955-23,TRUE,FALSE,1,2023,HS 101,275317x3599324,NA,NA,Hair Sample,CGA,NA,GTS_955-23,TRUE
